Results are in the following format:
    Precision  Recall  F-measure
701    0.62    0.62    0.62
702    0.72    0.72    0.72
704    0.42    0.42    0.42
705    0.48    0.48    0.48
706    0.86    0.86    0.86
707    0.64    0.64    0.64
708    0.74    0.74    0.74
709    0.92    0.92    0.92
711    0.72    0.72    0.72
712    0.6    0.6    0.6
713    0.92    0.92    0.92
714    0.74    0.74    0.74
715    0.66    0.66    0.66
716    0.8    0.8    0.8
722    0.6    0.6    0.6
723    0.62    0.62    0.62
724    0.58    0.58    0.58
725    0.7    0.7    0.7
727    0.82    0.82    0.82
729    0.68    0.68    0.68
730    0.68    0.68    0.68
733    0.76    0.76    0.76
735    0.52    0.52    0.52
737    0.78    0.78    0.78
738    0.68    0.68    0.68
739    0.44    0.44    0.44
740    0.8    0.8    0.8
741    0.56    0.56    0.56
743    0.36    0.36    0.36
745    0.52    0.52    0.52
746    0.48    0.48    0.48
747    0.4    0.4    0.4
749    0.8    0.8    0.8
750    0.74    0.74    0.74
751    0.58    0.58    0.58
752    0.52    0.52    0.52
753    0.74    0.74    0.74
755    0.72    0.72    0.72
757    0.26    0.26    0.26
760    0.56    0.56    0.56
761    0.6    0.6    0.6
763    0.48    0.48    0.48
770    0.7    0.7    0.7
771    0.92    0.92    0.92
772    0.96    0.96    0.96
776    0.74    0.74    0.74
782    0.96    0.96    0.96
792    0.46    0.46    0.46
794    0.68    0.68    0.68
795    0.14    0.14    0.14
798    0.76    0.76    0.76
801    0.6    0.6    0.6
802    0.74    0.74    0.74
804    0.76    0.76    0.76
806    0.7    0.7    0.7
808    0.58    0.58    0.58
810    0.58    0.58    0.58
811    0.26    0.26    0.26
812    0.86    0.86    0.86
816    0.86    0.86    0.86
817    0.78    0.78    0.78
818    0.76    0.76    0.76
820    0.76    0.76    0.76
821    0.64    0.64    0.64
822    0.62    0.62    0.62
824    0.66    0.66    0.66
825    0.56    0.56    0.56
826    0.72    0.72    0.72
829    0.18    0.18    0.18
830    0.32    0.32    0.32
831    0.9    0.9    0.9
834    0.9    0.9    0.9
835    0.84    0.84    0.84
836    0.84    0.84    0.84
837    0.5    0.5    0.5
838    0.72    0.72    0.72
841    0.72    0.72    0.72
843    0.68    0.68    0.68
846    0.6    0.6    0.6
847    0.42    0.42    0.42
849    0.88    0.88    0.88
850    0.84    0.84    0.84


Average values:
0.65756097561    0.65756097561    0.65756097561
