Scores will be of the following order :
  Precision  Recall  F-measure
701   0.94   0.94   0.94
702   0.8   0.8   0.8
704   0.84   0.84   0.84
705   0.42   0.42   0.42
706   0.92   0.92   0.92
707   0.7   0.7   0.7
708   0.76   0.76   0.76
709   0.92   0.92   0.92
711   0.8   0.8   0.8
712   0.6   0.6   0.6
713   0.92   0.92   0.92
714   0.78   0.78   0.78
715   0.46   0.46   0.46
716   0.8   0.8   0.8
722   0.62   0.62   0.62
723   0.72   0.72   0.72
724   0.66   0.66   0.66
725   0.8   0.8   0.8
727   0.86   0.86   0.86
729   0.86   0.86   0.86
730   0.68   0.68   0.68
733   0.78   0.78   0.78
735   0.52   0.52   0.52
737   0.94   0.94   0.94
738   0.7   0.7   0.7
739   0.4   0.4   0.4
740   0.82   0.82   0.82
741   0.74   0.74   0.74
743   0.64   0.64   0.64
745   0.74   0.74   0.74
746   0.7   0.7   0.7
747   0.72   0.72   0.72
749   0.84   0.84   0.84
750   0.76   0.76   0.76
751   0.62   0.62   0.62
752   0.86   0.86   0.86
753   0.76   0.76   0.76
755   0.74   0.74   0.74
757   0.86   0.86   0.86
760   0.64   0.64   0.64
761   0.74   0.74   0.74
763   0.6   0.6   0.6
770   0.8   0.8   0.8
771   0.94   0.94   0.94
772   0.96   0.96   0.96
776   0.7   0.7   0.7
782   0.98   0.98   0.98
792   0.86   0.86   0.86
794   0.86   0.86   0.86
795   0.36   0.36   0.36
798   0.84   0.84   0.84
801   0.82   0.82   0.82
802   0.56   0.56   0.56
804   0.72   0.72   0.72
806   0.72   0.72   0.72
808   0.6   0.6   0.6
810   0.8   0.8   0.8
811   0.74   0.74   0.74
812   0.88   0.88   0.88
816   0.92   0.92   0.92
817   0.9   0.9   0.9
818   0.76   0.76   0.76
820   0.76   0.76   0.76
821   0.66   0.66   0.66
822   0.7   0.7   0.7
824   0.72   0.72   0.72
825   0.6   0.6   0.6
826   0.72   0.72   0.72
829   0.62   0.62   0.62
830   0.56   0.56   0.56
831   0.94   0.94   0.94
834   0.92   0.92   0.92
835   0.88   0.88   0.88
836   0.86   0.86   0.86
837   0.62   0.62   0.62
838   0.76   0.76   0.76
841   0.84   0.84   0.84
843   0.68   0.68   0.68
846   0.74   0.74   0.74
847   0.52   0.52   0.52
849   0.88   0.88   0.88
850   0.82   0.82   0.82

Average values :
0.75   0.75   0.75
