Scores will be of the following order :
  Precision  Recall  F-measure
701   0.72   0.72   0.72
702   0.8   0.8   0.8
704   0.86   0.86   0.86
705   0.5   0.5   0.5
706   0.92   0.92   0.92
707   0.74   0.74   0.74
708   0.76   0.76   0.76
709   0.92   0.92   0.92
711   0.84   0.84   0.84
712   0.6   0.6   0.6
713   0.92   0.92   0.92
714   0.78   0.78   0.78
715   0.76   0.76   0.76
716   0.8   0.8   0.8
722   0.62   0.62   0.62
723   0.7   0.7   0.7
724   0.68   0.68   0.68
725   0.82   0.82   0.82
727   0.86   0.86   0.86
729   0.86   0.86   0.86
730   0.68   0.68   0.68
733   0.84   0.84   0.84
735   0.52   0.52   0.52
737   0.9   0.9   0.9
738   0.7   0.7   0.7
739   0.48   0.48   0.48
740   0.86   0.86   0.86
741   0.82   0.82   0.82
743   0.54   0.54   0.54
745   0.66   0.66   0.66
746   0.64   0.64   0.64
747   0.72   0.72   0.72
749   0.84   0.84   0.84
750   0.84   0.84   0.84
751   0.76   0.76   0.76
752   0.68   0.68   0.68
753   0.76   0.76   0.76
755   0.74   0.74   0.74
757   0.56   0.56   0.56
760   0.64   0.64   0.64
761   0.68   0.68   0.68
763   0.66   0.66   0.66
770   0.8   0.8   0.8
771   0.92   0.92   0.92
772   0.98   0.98   0.98
776   0.76   0.76   0.76
782   0.98   0.98   0.98
792   0.86   0.86   0.86
794   0.76   0.76   0.76
795   0.3   0.3   0.3
798   0.84   0.84   0.84
801   0.84   0.84   0.84
802   0.74   0.74   0.74
804   0.74   0.74   0.74
806   0.74   0.74   0.74
808   0.62   0.62   0.62
810   0.84   0.84   0.84
811   0.82   0.82   0.82
812   0.88   0.88   0.88
816   0.92   0.92   0.92
817   0.84   0.84   0.84
818   0.74   0.74   0.74
820   0.76   0.76   0.76
821   0.72   0.72   0.72
822   0.64   0.64   0.64
824   0.72   0.72   0.72
825   0.6   0.6   0.6
826   0.72   0.72   0.72
829   0.5   0.5   0.5
830   0.58   0.58   0.58
831   0.92   0.92   0.92
834   0.9   0.9   0.9
835   0.86   0.86   0.86
836   0.88   0.88   0.88
837   0.62   0.62   0.62
838   0.84   0.84   0.84
841   0.82   0.82   0.82
843   0.76   0.76   0.76
846   0.68   0.68   0.68
847   0.56   0.56   0.56
849   0.88   0.88   0.88
850   0.84   0.84   0.84

Average values :
0.75243902439   0.75243902439   0.75243902439
